Index,Symbol,Company Name,Market Cap,Last Sale,% Change,Revenue
1643,INSE,"Inspired Entertainment, Inc.",234.98M,8.84,-2.86%,297.10M
1644,WSBF,"Waterstone Financial, Inc.",234.51M,13.46,-1.97%,135.64M
1645,TENX,"Tenax Therapeutics, Inc.",234.35M,6.57,2.18%,
1646,OACC,Oaktree Acquisition Corp. III Life Sciences,234.33M,10.14,-0.22%,
1647,ZYBT,Zhengye Biotechnology Holding Limited,231.27M,4.880,21.09%,26.11M
1648,BWFG,"Bankwell Financial Group, Inc.",231.19M,30.09,0.30%,64.38M
1649,FINW,FinWise Bancorp,230.41M,17.44,0.40%,69.82M
1650,NWFL,Norwood Financial Corp.,230.20M,25.00,0.93%,48.37M
1651,CFFI,C&F Financial Corporation,230.19M,71.05,-3.71%,113.99M
1652,NATR,"Nature's Sunshine Products, Inc.",229.01M,12.39,-1.59%,454.36M
1653,IONR,ioneer Ltd,228.95M,4.190,3.39%,
1654,TSSI,"TSS, Inc.",227.66M,9.38,3.08%,122.53M
1655,ILPT,Industrial Logistics Properties Trust,227.54M,3.440,-2.27%,442.32M
1656,AFRI,Forafric Global PLC,226.86M,8.44,-0.71%,325.10M
1657,FBLA,"FB Bancorp, Inc.",226.35M,11.41,-0.35%,64.94M
1658,MAPS,"WM Technology, Inc.",226.13M,1.340,6.35%,184.51M
1659,YMAB,"Y-mAbs Therapeutics, Inc.",226.09M,5.00,1.63%,87.69M
1660,SSTI,"SoundThinking, Inc.",225.90M,17.88,-3.56%,102.03M
1661,AEVA,"Aeva Technologies, Inc.",225.77M,4.190,,9.07M
1662,IRWD,"Ironwood Pharmaceuticals, Inc.",225.64M,1.410,-7.84%,351.41M
1663,FHTX,Foghorn Therapeutics Inc.,225.23M,4.050,-1.70%,22.60M
1664,WILC,G. Willi-Food International Ltd.,225.20M,16.24,-0.42%,158.09M
1665,HTCO,High-Trend International Group,224.82M,1.880,-4.57%,108.18M
1666,CHMG,Chemung Financial Corporation,224.65M,46.91,-4.98%,97.34M
1667,MVBF,MVB Financial Corp.,224.53M,17.34,-1.03%,148.57M
1668,RGP,"Resources Connection, Inc.",224.03M,6.77,-1.17%,582.06M
1669,ABEO,Abeona Therapeutics Inc.,223.88M,5.15,0.19%,
1670,PHLT,"Performant Healthcare, Inc.",223.18M,2.850,-2.06%,122.98M
1671,WHF,"WhiteHorse Finance, Inc.",223.13M,9.60,-6.34%,92.82M
1672,KRRO,"Korro Bio, Inc.",223.08M,23.76,8.49%,2.27M
1673,MACI,Melar Acquisition Corp. I,222.92M,10.31,0.68%,
1674,SAMG,Silvercrest Asset Management Group Inc.,221.96M,16.28,-2.22%,123.65M
1675,ARQQ,Arqit Quantum Inc.,221.70M,17.73,-1.34%,293.00K
1676,AVR,Anteris Technologies Global Corp.,221.37M,5.18,-10.16%,2.70M
1677,RGCO,"RGC Resources, Inc.",220.87M,21.45,3.72%,87.51M
1678,EWCZ,"European Wax Center, Inc.",220.83M,3.990,-0.50%,216.92M
1679,FSTR,L.B. Foster Company,220.54M,20.45,-0.92%,530.77M
1680,ALCO,"Alico, Inc.",220.04M,28.81,-2.14%,49.55M
1681,SVCC,Stellar V Capital Corp.,219.39M,10.15,,
1682,PKBK,"Parke Bancorp, Inc.",219.09M,18.50,-1.49%,62.28M
1683,DYNX,Dynamix Corporation,218.90M,9.89,,
1684,ANIK,"Anika Therapeutics, Inc.",218.59M,15.42,-1.28%,119.91M
1685,CRNT,Ceragon Networks Ltd.,217.25M,2.525,0.60%,394.19M
1686,MBCN,Middlefield Banc Corp.,217.14M,26.87,2.95%,65.89M
1687,ESEA,Euroseas Ltd.,216.78M,30.76,-1.47%,212.90M
1688,BPRN,"Princeton Bancorp, Inc.",216.51M,31.31,0.32%,69.58M
1689,TDAC,Translational Development Acquisition Corp.,215.98M,10.12,0.60%,
1690,HPAI,Helport AI Limited,215.37M,5.40,-1.82%,29.58M
1691,EHTH,"eHealth, Inc.",214.69M,7.17,-3.11%,532.41M
1692,VYGR,"Voyager Therapeutics, Inc.",214.20M,3.880,,80.00M
1693,OPRT,Oportun Financial Corporation,213.55M,5.91,-4.68%,763.62M
1694,DMAC,DiaMedica Therapeutics Inc.,213.42M,4.980,-3.11%,
1695,PWOD,"Penns Woods Bancorp, Inc.",213.39M,28.03,-1.34%,68.38M
1696,GASS,StealthGas Inc.,212.37M,5.78,-1.70%,167.26M
1697,AARD,"Aardvark Therapeutics, Inc.",211.92M,9.91,7.95%,
1698,KOPN,Kopin Corporation,211.54M,1.371,-0.65%,44.27M
1699,SWKH,SWK Holdings Corporation,211.36M,17.25,-1.43%,27.55M
1700,CDXS,"Codexis, Inc.",211.24M,2.550,,59.35M
1701,NGNE,Neurogene Inc.,211.09M,14.21,-6.70%,925.00K
1702,KINS,"Kingstone Companies, Inc.",210.91M,15.36,-2.97%,155.14M
1703,LCNB,LCNB Corp.,210.25M,14.85,-0.54%,79.24M
1704,ELDN,"Eledon Pharmaceuticals, Inc.",209.68M,3.510,2.03%,
1705,PROF,Profound Medical Corp.,209.38M,6.81,-1.87%,10.68M
1706,FFNW,"First Financial Northwest, Inc.",208.75M,22.64,-0.13%,37.61M
1707,ACIU,AC Immune SA,207.78M,2.100,-2.78%,30.14M
1708,INBX,"Inhibrx Biosciences, Inc.",207.73M,14.35,1.77%,200.00K
1709,HCAI,"Huachen AI Parking Management Technology Holding Co., Ltd",206.33M,6.55,,53.68M
1710,BDMD,Baird Medical Investment Holdings Limited,206.08M,5.76,2.49%,33.05M
1711,KLRS,"Kalaris Therapeutics, Inc.",205.73M,11.00,-3.51%,
1712,GENK,"GEN Restaurant Group, Inc.",205.12M,6.19,1.81%,208.38M
1713,ALMS,Alumis Inc.,204.03M,3.750,5.04%,
1714,HWBK,"Hawthorn Bancshares, Inc.",203.87M,29.20,0.69%,71.88M
1715,ESCA,"Escalade, Incorporated",202.21M,14.79,-0.34%,251.51M
1716,MPAA,"Motorcar Parts of America, Inc.",202.10M,10.32,-0.67%,753.73M
1717,SLDP,"Solid Power, Inc.",202.01M,1.110,0.91%,20.14M
1718,SOPH,SOPHiA GENETICS SA,201.83M,3.020,0.67%,65.17M
1719,FLXS,"Flexsteel Industries, Inc.",201.82M,38.30,-1.82%,430.53M
1720,DENN,Denny's Corporation,201.80M,3.910,-2.74%,452.33M
1721,FUNC,First United Corporation,199.90M,30.88,-1.25%,76.87M
1722,FXNC,First National Corporation,199.85M,22.27,-0.36%,58.02M
1723,RITR,Reitar Logtech Holdings Limited,199.82M,3.200,-3.03%,47.95M
1724,TVGN,Tevogen Bio Holdings Inc.,199.56M,1.140,-2.56%,
1725,OVLY,Oak Valley Bancorp,199.50M,24.14,-0.78%,78.21M
1726,CKPT,"Checkpoint Therapeutics, Inc.",198.75M,4.070,0.25%,47.00K
1727,UHG,"United Homes Group, Inc.",198.59M,3.390,-5.31%,463.71M
1728,UHGWW,"United Homes Group, Inc.",198.59M,0.730,1.32%,463.71M
1729,AENT,Alliance Entertainment Holding Corporation,198.22M,3.890,3.46%,1.07B
1730,TLS,Telos Corporation,198.07M,2.730,1.49%,108.27M
1731,LOGC,ContextLogic Inc.,197.88M,7.52,-0.40%,43.00M
1732,NVX,NOVONIX Limited,197.42M,1.220,3.83%,5.85M
1733,LXEH,"Lixiang Education Holding Co., Ltd.",197.23M,10.29,-3.56%,5.63M
1734,MFIN,Medallion Financial Corp.,196.71M,8.80,-0.23%,302.56M
1735,ARQ,"Arq, Inc.",196.63M,4.680,-3.11%,108.96M
1736,BETR,Better Home & Finance Holding Company,195.24M,12.87,-0.85%,108.49M
1737,BETRW,Better Home & Finance Holding Company,195.24M,0.100,2.77%,108.49M
1738,INGN,"Inogen, Inc.",194.99M,7.35,-1.34%,335.71M
1739,SGMO,"Sangamo Therapeutics, Inc.",194.73M,0.867,3.28%,57.80M
1740,LFVN,LifeVantage Corporation,194.04M,15.46,-5.04%,212.15M
1741,PLCE,"The Children's Place, Inc.",193.74M,8.80,6.67%,1.43B
1742,BSII,Black Spade Acquisition II Co,193.74M,10.13,0.60%,
1743,RDCM,RADCOM Ltd.,193.44M,12.15,-1.54%,61.01M
1744,JYNT,The Joint Corp.,193.18M,12.73,-0.24%,51.90M
1745,UTMD,"Utah Medical Products, Inc.",192.68M,56.81,-1.05%,40.90M
1746,CRGX,"CARGO Therapeutics, Inc.",192.50M,4.180,-0.24%,
1747,VABK,Virginia National Bankshares Corporation,192.12M,35.77,-0.45%,53.66M
1748,PVBC,"Provident Bancorp, Inc.",191.87M,11.47,-1.46%,55.40M
1749,RCT,RedCloud Holdings plc,191.59M,4.500,,29.71M
1750,CPSS,"Consumer Portfolio Services, Inc.",191.27M,8.92,-0.67%,185.46M
1751,ARAY,Accuray Incorporated,191.26M,1.860,0.54%,453.14M
1752,ESSA,"ESSA Bancorp, Inc.",190.68M,18.88,-1.92%,67.43M
1753,TNGX,"Tango Therapeutics, Inc.",190.27M,1.760,-1.12%,42.07M
1754,KBSX,FST Corp.,189.67M,3.100,6.90%,33.94M
1755,BLFY,Blue Foundry Bancorp,189.56M,9.24,-0.86%,40.69M
1756,AMRN,Amarin Corporation plc,189.32M,0.457,4.96%,228.61M
1757,MYFW,"First Western Financial, Inc.",188.65M,19.44,0.31%,90.07M
1758,WNEB,"Western New England Bancorp, Inc.",187.83M,9.15,0.55%,73.39M
1759,TCX,Tucows Inc.,187.66M,17.01,-0.53%,362.28M
1760,FVCB,"FVCBankcorp, Inc.",187.12M,10.18,-2.49%,58.12M
1761,BWAY,BrainsWay Ltd.,186.83M,9.91,-3.60%,41.02M
1762,NAMI,Jinxin Technology Holding Company,186.23M,2.908,2.76%,56.13M
1763,SEVN,Seven Hills Realty Trust,185.99M,12.48,-2.12%,29.85M
1764,CTNM,"Contineum Therapeutics, Inc.",185.50M,7.17,0.28%,
1765,HFFG,HF Foods Group Inc.,185.11M,3.510,-1.13%,1.20B
1766,HQI,"HireQuest, Inc.",184.80M,13.20,-0.08%,36.28M
1767,RZLT,"Rezolute, Inc.",184.63M,3.050,-1.29%,
1768,NTCL,NetClass Technology Inc,184.01M,10.32,6.50%,10.10M
1769,DRTS,Alpha Tau Medical Ltd.,183.69M,2.610,0.38%,
1770,NMRA,"Neumora Therapeutics, Inc.",183.04M,1.130,-2.59%,
1771,HMR,Heidmar Maritime Holdings Corp.,182.18M,3.210,-0.62%,36.37M
1772,LTBR,Lightbridge Corporation,182.10M,8.95,-5.04%,
1773,FENC,Fennec Pharmaceuticals Inc.,182.04M,6.67,0.76%,47.54M
1774,GNFT,Genfit S.A.,181.77M,3.630,0.55%,86.23M
1775,JRVR,"James River Group Holdings, Ltd.",181.66M,3.980,2.05%,707.63M
1776,FDMT,"4D Molecular Therapeutics, Inc.",181.51M,3.920,4.53%,37.00K
1777,OPBK,OP Bancorp,180.88M,12.21,-2.09%,79.28M
1778,OXSQ,Oxford Square Capital Corp.,180.75M,2.590,,42.68M
1779,INMB,"INmune Bio, Inc.",180.04M,8.12,-0.25%,42.00K
1780,III,"Information Services Group, Inc.",179.99M,3.730,0.27%,247.59M
1781,FORR,"Forrester Research, Inc.",178.99M,9.43,-1.98%,432.47M
1782,FSFG,"First Savings Financial Group, Inc.",178.80M,26.03,3.17%,73.62M
1783,LAKE,"Lakeland Industries, Inc.",178.19M,18.76,-1.26%,151.82M
1784,STRT,Strattec Security Corporation,178.03M,42.67,-2.00%,552.80M
1785,SGC,"Superior Group of Companies, Inc.",177.96M,10.80,-0.28%,565.68M
1786,SMID,Smith-Midland Corporation,177.88M,33.54,1.67%,76.37M
1787,OM,"Outset Medical, Inc.",177.88M,10.05,-10.90%,113.69M
1788,BOOM,DMC Global Inc.,177.52M,8.77,2.67%,642.85M
1789,BVFL,"BV Financial, Inc.",177.23M,15.59,1.10%,37.90M
1790,SPKL,Spark I Acquisition Corporation,177.09M,10.78,0.31%,
1791,HOLO,MicroCloud Hologram Inc.,177.08M,1.000,32.36%,39.77M
1792,CTRN,"Citi Trends, Inc.",176.80M,21.05,4.67%,753.08M
1793,OCGN,"Ocugen, Inc.",176.55M,0.605,4.97%,4.05M
1794,ISPR,Ispire Technology Inc.,176.41M,3.090,-7.21%,148.52M
1795,CGC,Canopy Growth Corporation,176.38M,1.110,-1.77%,192.34M
1796,GAUZ,Gauzy Ltd.,176.35M,9.42,1.95%,103.53M
1797,HITI,High Tide Inc.,176.01M,2.160,0.93%,370.83M
1798,UFG,Uni-Fuels Holdings Limited,176.01M,5.43,4.22%,130.67M
1799,MDWD,MediWound Ltd.,175.84M,16.27,-4.57%,20.22M
1800,VUZI,Vuzix Corporation,175.36M,2.300,,5.75M
1801,SKGR,SK Growth Opportunities Corporation,175.33M,11.71,-0.17%,
1802,MKTW,"MarketWise, Inc.",175.33M,0.540,3.64%,408.70M
1803,HMST,"HomeStreet, Inc.",174.83M,9.24,3.12%,75.70M
1804,LNSR,"LENSAR, Inc.",174.72M,14.82,-3.77%,53.49M
1805,ISTR,Investar Holding Corporation,174.21M,17.73,2.07%,86.32M
1806,PBYI,"Puma Biotechnology, Inc.",174.13M,3.510,2.93%,230.47M
1807,NBTX,Nanobiotix S.A.,173.93M,3.620,-3.98%,45.22M
1808,BCBP,"BCB Bancorp, Inc.",173.86M,10.13,1.10%,83.39M
1809,TTEC,"TTEC Holdings, Inc.",173.84M,3.640,4.60%,2.21B
1810,PRQR,ProQR Therapeutics N.V.,173.60M,1.650,1.23%,20.24M
1811,RELL,"Richardson Electronics, Ltd.",173.48M,12.04,-3.37%,202.97M
1812,NKSH,"National Bankshares, Inc.",173.46M,27.28,0.66%,44.13M
1813,ATOM,Atomera Incorporated,173.17M,5.64,-1.91%,135.00K
1814,BZUN,Baozun Inc.,173.17M,3.000,-1.80%,1.29B
1815,RAPT,"RAPT Therapeutics, Inc.",172.93M,1.310,9.17%,
1816,ACRS,"Aclaris Therapeutics, Inc.",172.67M,1.600,1.91%,18.72M
1817,EFSI,"Eagle Financial Services, Inc.",172.52M,32.66,0.18%,70.23M
1818,KOD,Kodiak Sciences Inc.,172.20M,3.280,2.18%,
1819,TLSI,"TriSalus Life Sciences, Inc.",171.98M,5.64,4.83%,26.89M
1820,OBIO,"Orchestra BioMed Holdings, Inc.",171.44M,4.510,3.68%,2.65M
1821,ADUR,Aduro Clean Technologies Inc.,171.28M,5.31,-0.75%,213.43K
1822,POWW,"AMMO, Inc.",171.01M,1.440,2.86%,135.50M
1823,MYPS,"PLAYSTUDIOS, Inc.",170.84M,1.280,-1.54%,289.43M
1824,IPHA,Innate Pharma S.A.,170.80M,2.040,2.26%,36.20M
1825,LYEL,"Lyell Immunopharma, Inc.",170.79M,0.579,8.57%,61.00K
1826,FULC,"Fulcrum Therapeutics, Inc.",170.03M,3.150,4.30%,80.00M
1827,CURI,CuriosityStream Inc.,169.79M,3.000,,51.13M
1828,FCCO,First Community Corporation,169.61M,22.11,-1.12%,65.13M
1829,TARA,"Protara Therapeutics, Inc.",169.13M,4.600,-0.43%,
1830,VOXX,VOXX International Corporation,168.62M,7.49,,397.41M
1831,MRCC,Monroe Capital Corporation,168.56M,7.78,-0.77%,60.53M
1832,SLN,Silence Therapeutics plc,168.12M,3.560,-3.78%,43.26M
1833,CSPI,CSP Inc.,167.77M,16.98,-1.96%,55.51M
1834,AOUT,"American Outdoor Brands, Inc.",167.34M,13.14,-3.03%,206.68M
1835,ACRV,"Acrivon Therapeutics, Inc.",166.89M,5.36,4.28%,
1836,IKT,"Inhibikase Therapeutics, Inc.",164.39M,2.370,-2.07%,1.00
1837,SKIN,The Beauty Health Company,164.07M,1.310,,334.29M
1838,HNVR,"Hanover Bancorp, Inc.",162.74M,22.60,-0.13%,63.49M
1839,IBAC,IB Acquisition Corp.,162.22M,10.30,,
1840,EML,The Eastern Company,162.17M,26.47,-0.64%,272.75M
1841,LRMR,"Larimar Therapeutics, Inc.",162.07M,2.540,1.20%,
1842,BFIN,BankFinancial Corporation,161.86M,12.99,-0.54%,49.21M
1843,BIOA,"BioAge Labs, Inc.",160.97M,4.490,2.51%,
1844,NKTR,Nektar Therapeutics,160.74M,0.864,-1.10%,98.43M
1845,RANG,Range Capital Acquisition Corp.,160.70M,10.02,,
1846,MASS,908 Devices Inc.,160.04M,4.530,8.89%,59.63M
1847,SANG,Sangoma Technologies Corporation,159.92M,4.750,2.59%,241.24M
1848,OPRX,OptimizeRx Corporation,159.57M,8.63,-1.82%,92.13M
1849,PDEX,"Pro-Dex, Inc.",159.53M,48.92,-0.27%,61.00M
1850,FGMC,FG Merger II Corp.,158.88M,9.56,-0.10%,
1851,FRAF,Franklin Financial Services Corporation,158.66M,35.73,-2.14%,69.21M
1852,HCVI,Hennessy Capital Investment Corp. VI,158.12M,10.80,,
1853,ESOA,Energy Services of America Corporation,157.85M,9.42,-2.28%,362.36M
1854,ESHA,ESH Acquisition Corp.,157.77M,10.76,-0.09%,
1855,THRD,"Third Harmonic Bio, Inc.",157.70M,3.500,-1.41%,
1856,LARK,"Landmark Bancorp, Inc.",157.66M,27.30,-0.91%,58.17M
1857,FEIM,"Frequency Electronics, Inc.",157.34M,16.26,-5.13%,65.40M
1858,VIRC,Virco Mfg. Corporation,156.22M,9.59,-1.34%,280.38M
1859,ATLO,Ames National Corporation,156.02M,17.50,-1.96%,53.46M
1860,VGAS,"Verde Clean Fuels, Inc.",155.92M,3.500,-6.67%,
1861,MRBK,Meridian Corporation,155.68M,13.96,-1.27%,100.94M
1862,RFAI,RF Acquisition Corp II,155.68M,10.37,-0.29%,
1863,SNBR,Sleep Number Corporation,155.60M,6.95,-4.92%,1.68B
1864,TRUE,"TrueCar, Inc.",155.32M,1.780,1.14%,175.60M
1865,AIRS,"AirSculpt Technologies, Inc.",154.93M,2.645,-5.87%,180.35M
1866,TAVI,Tavia Acquisition Corp.,154.60M,10.05,0.10%,
1867,UBFO,United Security Bancshares,154.44M,8.95,-1.00%,48.60M
1868,CRML,Critical Metals Corp.,153.95M,1.610,-12.02%,476.98K
1869,RENE,Cartesian Growth Corporation II,153.79M,11.83,,
1870,CXDO,"Crexendo, Inc.",153.73M,5.51,0.92%,60.84M
1871,TZOO,Travelzoo,153.61M,13.66,-1.09%,83.90M
1872,FLL,"Full House Resorts, Inc.",153.55M,4.280,2.88%,292.07M
1873,OPOF,Old Point Financial Corporation,151.82M,29.90,,60.91M
1874,PLL,Piedmont Lithium Inc.,151.35M,7.11,1.14%,99.88M
1875,SUNS,"Sunrise Realty Trust, Inc.",150.99M,11.25,-1.06%,10.59M
1876,SCPH,scPharmaceuticals Inc.,150.85M,3.000,-0.33%,36.33M
1877,WLAC,Willow Lane Acquisition Corp.,150.70M,10.03,,
1878,EPSN,Epsilon Energy Ltd.,150.54M,6.84,-3.66%,31.52M
1879,CCCC,"C4 Therapeutics, Inc.",150.50M,2.120,-3.20%,35.58M
1880,PROP,Prairie Operating Co.,149.87M,5.58,3.14%,7.94M
1881,PEBK,"Peoples Bancorp of North Carolina, Inc.",149.60M,27.42,-0.94%,82.08M
1882,CLAR,Clarus Corporation,149.23M,3.890,-1.52%,264.32M
1883,TOYO,"TOYO Co., Ltd.",148.39M,3.080,0.66%,200.46M
1884,BANX,ArrowMark Financial Corp.,148.36M,20.84,0.82%,29.47M
1885,SGHT,"Sight Sciences, Inc.",148.35M,2.890,-1.70%,79.87M
1886,OGI,Organigram Holdings Inc.,148.26M,1.110,4.72%,115.45M
1887,TNXP,Tonix Pharmaceuticals Holding Corp.,148.20M,23.03,26.61%,10.09M
1888,SVCO,"Silvaco Group, Inc.",147.38M,5.14,-0.58%,59.68M
1889,MMLP,Martin Midstream Partners L.P.,147.26M,3.700,0.54%,707.62M
1890,ISRL,Israel Acquisitions Corp,146.85M,11.46,,
1891,CGEN,Compugen Ltd.,146.82M,1.570,-1.88%,27.86M
1892,STRS,Stratus Properties Inc.,146.76M,18.15,-0.33%,48.16M
1893,BRLT,"Brilliant Earth Group, Inc.",146.68M,1.480,0.68%,422.16M
1894,MOLN,Molecular Partners AG,146.30M,3.930,-2.48%,5.48M
1895,GLSI,"Greenwich LifeSciences, Inc.",146.04M,11.11,-2.03%,
1896,CZWI,"Citizens Community Bancorp, Inc.",145.45M,14.56,-1.42%,59.57M
1897,LESL,"Leslie's, Inc.",145.18M,0.784,-1.80%,1.33B
1898,EUDA,EUDA Health Holdings Limited,145.12M,4.060,-2.40%,3.81M
1899,EUDAW,EUDA Health Holdings Limited,145.12M,0.110,-8.17%,3.81M
1900,AFCG,Advanced Flower Capital Inc.,144.16M,6.38,0.39%,41.49M
1901,SHIP,Seanergy Maritime Holdings Corp.,144.05M,7.07,-2.62%,167.46M
1902,CBFV,"CB Financial Services, Inc.",143.85M,28.09,-0.35%,50.03M
1903,SERA,"Sera Prognostics, Inc.",142.74M,3.800,-3.31%,77.00K
1904,UNB,"Union Bankshares, Inc.",142.48M,31.49,0.29%,47.16M
1905,INVZ,Innoviz Technologies Ltd.,142.06M,0.714,2.59%,24.27M
1906,CFBK,CF Bankshares Inc.,142.02M,22.20,0.18%,45.08M
1907,BTMD,biote Corp.,141.69M,3.860,-8.10%,197.19M
1908,AEYE,"AudioEye, Inc.",141.38M,11.39,-0.87%,35.20M
1909,EXOZ,"eXoZymes, Inc.",141.12M,14.81,-1.86%,-700.00
1910,HURA,"TuHURA Biosciences, Inc.",140.93M,3.330,-16.75%,
1911,PTMN,Portman Ridge Finance Corporation,140.82M,15.31,-2.36%,62.43M
1912,INSG,Inseego Corp.,140.46M,9.36,-1.99%,191.24M
1913,BSET,"Bassett Furniture Industries, Incorporated",140.09M,15.94,-1.30%,329.92M
1914,QSG,QuantaSing Group Limited,140.05M,2.740,4.58%,477.14M
1915,OVBC,Ohio Valley Banc Corp.,138.88M,29.48,-7.30%,59.51M
1916,ELTX,"Elicio Therapeutics, Inc.",138.67M,8.69,6.96%,
1917,VOXR,Vox Royalty Corp.,138.27M,2.925,1.56%,11.05M
1918,ECBK,"ECB Bancorp, Inc.",138.26M,15.20,0.40%,26.04M
1919,NEON,Neonode Inc.,138.12M,8.23,-1.20%,3.11M
1920,BROG,Brooge Energy Limited,138.08M,1.260,5.00%,73.02M
1921,SAVA,"Cassava Sciences, Inc.",137.19M,2.840,2.90%,
1922,SBFG,"SB Financial Group, Inc.",137.06M,20.99,1.01%,56.77M
1923,SSSS,SuRo Capital Corp.,136.95M,5.82,-1.02%,4.67M
1924,CAAS,"China Automotive Systems, Inc.",136.74M,4.530,-2.37%,621.38M
1925,ZNTL,"Zentalis Pharmaceuticals, Inc.",136.12M,1.910,4.95%,40.56M
1926,EGAN,eGain Corporation,135.87M,4.830,0.21%,89.00M
1927,TELO,"Telomir Pharmaceuticals, Inc.",135.72M,4.560,11.76%,
1928,QVCGB,QVC Group Inc.,135.59M,6.62,7.99%,10.04B
1929,QH,Quhuo Limited,135.44M,1.510,0.25%,493.47M
1930,EBMT,"Eagle Bancorp Montana, Inc.",135.24M,16.90,-0.29%,80.70M
1931,SNCR,"Synchronoss Technologies, Inc.",134.90M,12.52,2.88%,173.59M
1932,ENTA,"Enanta Pharmaceuticals, Inc.",134.61M,6.31,-2.02%,66.59M
1933,GATE,Marblegate Acquisition Corp.,134.35M,11.60,10.48%,
1934,CEP,"Cantor Equity Partners, Inc.",134.14M,10.48,-0.19%,
1935,GNLX,Genelux Corporation,134.03M,3.930,-1.26%,8.00K
1936,ALEC,"Alector, Inc.",133.77M,1.350,3.85%,100.56M
1937,SIFY,Sify Technologies Limited,133.22M,4.360,-2.90%,465.33M
1938,RCKY,"Rocky Brands, Inc.",133.20M,17.85,-1.49%,453.77M
1939,KEQU,Kewaunee Scientific Corporation,132.73M,46.50,-6.04%,220.03M
1940,GPRO,"GoPro, Inc.",132.40M,0.841,7.68%,801.47M
1941,SKYX,SKYX Platforms Corp.,132.23M,1.290,-2.27%,84.77M
1942,ACTU,"Actuate Therapeutics, Inc.",131.84M,6.75,-3.43%,
1943,CSBR,"Champions Oncology, Inc.",131.31M,9.58,-5.52%,58.59M
1944,LXRX,"Lexicon Pharmaceuticals, Inc.",131.29M,0.363,5.31%,31.08M
1945,MIMI,Mint Incorporation Limited,131.17M,5.70,0.71%,4.38M
1946,SFBC,"Sound Financial Bancorp, Inc.",130.76M,51.30,0.96%,35.78M
1947,BRLS,Borealis Foods Inc.,130.41M,6.10,0.84%,28.37M
1948,EPRX,Eupraxia Pharmaceuticals Inc.,130.35M,3.823,-2.23%,
1949,LWLG,"Lightwave Logic, Inc.",129.79M,1.040,2.97%,95.61K
1950,MNSB,"MainStreet Bancshares, Inc.",129.43M,17.28,0.17%,59.06M
1951,CDLX,"Cardlytics, Inc.",129.17M,2.500,7.30%,278.30M
1952,KRMD,"KORU Medical Systems, Inc.",129.14M,2.810,-4.75%,33.65M
1953,KNDI,"Kandi Technologies Group, Inc.",129.11M,1.500,-0.66%,118.13M
1954,RMBI,"Richmond Mutual Bancorporation, Inc.",128.79M,12.85,-0.08%,42.92M
1955,ILLR,Triller Group Inc.,128.64M,0.790,-5.06%,45.24M
1956,AISP,"Airship AI Holdings, Inc.",128.58M,4.050,-4.93%,23.05M
1957,AISPW,"Airship AI Holdings, Inc.",128.58M,1.100,4.76%,23.05M
1958,SGMT,Sagimet Biosciences Inc.,128.46M,3.990,-1.48%,
1959,VIOT,"Viomi Technology Co., Ltd",128.28M,1.880,-2.59%,306.75M
1960,PESI,"Perma-Fix Environmental Services, Inc.",127.91M,6.96,-7.69%,59.12M
1961,NNBR,"NN, Inc.",127.71M,2.560,-2.29%,464.29M
1962,USAU,U.S. Gold Corp.,127.67M,10.36,-9.91%,
1963,FCAP,"First Capital, Inc.",127.51M,38.04,-0.08%,42.00M
1964,ACNT,Ascent Industries Co.,127.29M,12.63,-2.09%,177.87M
1965,SHMD,SCHMID Group N.V.,126.78M,2.950,-0.67%,99.75M
1966,HUHU,HUHUTECH International Group Inc.,126.19M,5.96,25.74%,17.49M
1967,MIST,Milestone Pharmaceuticals Inc.,125.90M,1.900,-2.56%,
1968,MGNX,"MacroGenics, Inc.",125.87M,1.995,-5.00%,149.96M
1969,RMBL,"RumbleOn, Inc.",125.83M,3.330,-3.76%,1.21B
1970,RILY,"B. Riley Financial, Inc.",125.34M,4.110,-3.75%,854.38M
1971,RILYP,"B. Riley Financial, Inc.",125.34M,3.950,-2.47%,854.38M
1972,PAYS,"Paysign, Inc.",125.30M,2.340,-0.85%,56.47M
1973,NAUT,"Nautilus Biotechnology, Inc.",124.89M,0.990,-0.99%,
1974,FNWD,Finward Bancorp,124.84M,28.94,0.91%,71.60M
1975,CRVO,CervoMed Inc.,124.36M,14.29,23.62%,9.74M
1976,FTLF,"FitLife Brands, Inc.",124.15M,13.48,-1.17%,62.76M
1977,MCRB,"Seres Therapeutics, Inc.",124.02M,0.711,-2.87%,
1978,ARBE,Arbe Robotics Ltd.,124.02M,1.300,,768.00K
1979,CRGO,Freightos Limited,123.89M,2.510,-2.90%,23.79M
1980,VCSA,"Vacasa, Inc.",123.81M,5.49,1.67%,910.49M
1981,BDSX,"Biodesix, Inc.",123.54M,0.846,3.80%,71.32M
1982,USGO,U.S. GoldMining Inc.,123.33M,9.91,-2.56%,
1983,OFS,OFS Capital Corporation,123.26M,9.20,-4.17%,47.96M
1984,VERI,"Veritone, Inc.",123.08M,2.760,1.85%,92.64M
1985,NWTN,NWTN Inc.,123.06M,0.430,1.42%,583.00K
1986,ZTEK,Zentek Ltd.,122.83M,1.150,-1.71%,44.94K
1987,TOUR,Tuniu Corporation,122.42M,1.040,-1.89%,70.37M
1988,HOFT,Hooker Furnishings Corporation,122.39M,11.64,1.31%,389.78M
1989,MCTR,Ctrl Group Limited,122.09M,7.98,10.83%,4.45M
